0	Laguna Seca Full
1	Laguna Seca Short
3	Road America Full
5	Road America East Route
21	Silverstone GP
22	Silverstone National
23	Silverstone International
31	Nurburgring Endurance
32	Nurburgring Nordschleife
33	Nurburgring GP
34	Nurburgring Sprint
35	Mugello Full
36	Mugello Club
37	Suzuka Full
38	Suzuka East
40	Sebring Full
42	Sebring Short
67	Maple Valley Full 
68	Maple Valley Short
70	Maple Valley Short Reverse 
100	Le Mans Full
101	Le Mans Old Mulsanne
110	Barcelona Catalunya GP
111	Barcelona Catalunya National
113	Barcelona Catalunya National Alt
231	Indianapolis Brickyard
232	Indianapolis GP
250	Hockenheimring
251	Hockenheimring National
252	Hockenheimring Short
510	Yas Marina
511	Yas Marina North
512	Yas Marina South
513	Yas Marina North Corkscrew
530	Spa Francorchamps Full
840	Daytona 24h Sports Car
841	Daytona Tri-Oval
860	Brands Hatch GP
861	Brands Hatch Indy
870	Watkins Glen Full
873	Watkins Glen Short
880	Lime Rock Park Full
882	Lime Rock Park South Chicane
883	Lime Rock Park Full Alt
990	Virginia International Raceway Full
991	Virginia International Raceway North
992	Virginia International Raceway South
995	Virginia International Raceway Grand West
996	Virginia International Raceway Grand East
1110	Homestead-Miami Speedway
1111	Homestead-Miami Road Circuit
1450	Mid-Ohio Sports Car Circuit
1452	Mid-Ohio Short
1590	Kyalami GP
1630	Grand Oak National
1631	Grand Oak Club
1632	Grand Oak National Reverse
1640	Hakone GP
1641	Hakone Club
1643	Hakone Club Reverse
1660	Eaglerock Speedway Oval
1661	Eaglerock Speedway Club
1663	Eaglerock Speedway Club Reverse
